Brand,Parent Company,Parent Company Country
Peugeot,Stellantis,Netherlands
Pocco,Pocco,China
Poer,Great Wall Motors,China
Polestar,Geely,China
Polestones,Polestones,China
Porsche,Volkswagen Group,Germany
Proton,Proton,Malaysia
Qiantu,Qiantu,China
Qingzhou,Qingzhou,China
Qiyuan,Changan,China
Qoros,Qoros,China
Radar,Geely,China
Ram,Stellantis,Netherlands
Range Rover,Tata,India
Red Star,Red Star,China
Refine,JAC,China
Renault,Renault-Nissan-Mitsubishi,France
Rimac,Rimac,Croatia
Rivian,Rivian,USA
Roewe,SAIC,China
Rolls Royce,BMW,Germany
Ruichi,Dongfeng,China
Saleen,Saleen,USA
Samsung,Renault Korea,South Korea
Santana,Volkswagen Group,Germany
Seat,Volkswagen Group,Germany
Sehol,JAC,China
Senia,FAW,China
Seres,Seres,China
Shangjie,Chery,China
Shineray,Shineray,China
Sinogold,Sinogold,China
Sinotruk,Sinotruk,China
Sitech,JAC,China
Skoda,Volkswagen Group,Germany
Smart,Geely,China
Soueast,Chery,China
Ssangyong,KG Mobility,South Korea
Stelato,BAIC,China
StreetScooter,StreetScooter,Germany
Subaru,Toyota,Japan
Suda,Suda,China
Sunra,Sunra,China
Suzuki,Suzuki,Japan
Switch Mobility,Ashok Leyland,India
TAD Motors,TAD Motors,India
TAGA,TAGA,Japan
Tank,Great Wall Motors,China
Tata,Tata,India
Tesla,Tesla,USA
Think,Think,Norway
Tianmei-Skywell,Skywell,China
Tingrui,Tingrui,China
Togg,Togg,Turkey
Toyota,Toyota,Japan
Trumpchi,GAC,China
Unspec.,Unspecified,Unspecified
Upower,Upower,China
Venucia,Dongfeng,China
Viauto,Viauto,China
VinFast,VinFast,Vietnam
Volvo,Geely,China
Voyah,Dongfeng,China
VW,Volkswagen Group,Germany
Wanren,Wanren,China
Wanxiang,Wanxiang,China
Weltmeister,WM Motor,China
WEY,Great Wall Motors,China
Wingle,Great Wall Motors,China
Wuling,SAIC-GM-Wuling,China
Xiaokang,Seres,China
Xiaomi,Xiaomi,China
Xpeng,Xpeng,China
Yangwang,BYD,China
Yema,Yema,China
Yu'an,Yu'an,China
Yuanhang,Dayun,China
Yudo,Yudo,China
Yunque / Lark,Chery,China
Zedriv,Zedriv,China
Zeekr,Geely,China
Zeroid,Zeroid,South Korea
Zhidou,Zhidou,China
Zoomlion,Zoomlion,China
Zotye,Zotye,China
